algorithm_commit	parent_commit	benchmark	commit_status	n_targets	solved_fraction	n_solved	median_first_solution_s	median_first_solution_iter	mean_search_s	benchmark_wall_s	files_changed	change_summary	mechanistic_hypothesis
b01db19	-	main15	baseline	15	0.800000	12	1.282046	44.5	8.101641	123.097637	-	baseline current algorithm on primary benchmark	reference point for later accepted changes on the main benchmark
b01db19	-	hard7	baseline	7	0.571429	4	10.496256	304.5	16.907978	118.947591	-	baseline current algorithm on hard benchmark	reference point for later accepted changes on the persistent hard targets
b5bf2f2	df24b05	hard10	baseline	10	0.500000	5	10.720275	329.0	16.229977	163.879483	data/benchmark_hard.smi,data/benchmark_hard.yml,data/benchmark_hard_manifest.csv,AUTORESEARCH.md,program.md	expand hard benchmark from 7 to 10 persistent hard or slow targets	reduce hard-benchmark saturation by adding validated persistent unsolved and slow solved targets
f52344a	974914b	hard10	keep	10	0.500000	5	8.408591	292.0	18.191088	182.839940	aizynthfinder/aizynthfinder.py	add late depth rescue stage	allowing one extra transform only after an initial failed phase helps one-precursor-away hard targets dig deeper without reducing broad solved fraction
266c7c1	f52344a	hard10	keep	10	0.500000	5	8.078245	292.0	19.105340	192.044551	aizynthfinder/aizynthfinder.py	add second rescue for single-precursor frontier	granting a second late depth extension only when the instantiated frontier already has a depth-limited single-precursor state helps near-solved hard targets finish earlier without reducing broad solved fraction
80f9e50	266c7c1	hard10	keep	10	0.500000	5	8.027411	292.0	19.245330	193.442034	aizynthfinder/aizynthfinder.py	recheck single-precursor rescue later in search	periodically rechecking for a depth-limited single-precursor frontier after the late rescue captures promising hard states that emerge after iteration 501 and improves first-solution timing without reducing broad solved fraction
20250fc	80f9e50	hard10	keep	10	0.500000	5	7.869588	292.0	19.594283	202.376925	aizynthfinder/aizynthfinder.py	add late ringbreaker rescue	appending RingBreaker only after the late single-precursor rescue gives stalled hard targets an alternative template family and improves first-solution timing without reducing broad solved fraction
1350132	20250fc	hard10	keep	10	0.500000	5	7.784998	292.0	20.616851	207.118883	aizynthfinder/search/mcts/node.py	guard mcts child instantiation errors	treating reaction-application exceptions as dead-end children instead of target-level failures lets the late RingBreaker fallback explore safely and improves hard first-solution timing without reducing broad solved fraction
fa9a91b	1350132	hard10	keep	10	0.600000	6	10.924031	293.5	19.895422	199.916548	aizynthfinder/aizynthfinder.py	cap late ringbreaker rescue width to 10	narrowing the late RingBreaker fallback keeps the rescue from spending search budget on a wide low-value template burst and lets one additional hard target reach a valid solution without hurting the broad benchmark
169efbf	fa9a91b	hard10	keep	10	0.600000	6	7.598651	293.0	17.244401	173.437990	aizynthfinder/chem/reaction.py	cache templated reaction outcomes	reusing repeated template-application outcomes for identical mapped products frees hard-target budget from duplicate RDKit work and improves hard first-solution time and search throughput without hurting the broad benchmark
ca0fe84	169efbf	hard10	keep	10	0.600000	6	6.891351	312.5	16.980261	170.782121	aizynthfinder/search/mcts/node.py	prefer best multi-outcome mcts child	selecting the strongest first child among multi-outcome reaction applications avoids wasting the first visit on weak outcomes and improves hard-case search efficiency without reducing broad solved fraction
1af438a	39afbed	hard10	keep	10	0.700000	7	7.036309	314.0	17.219767	173.138533	aizynthfinder/search/mcts/search.py,aizynthfinder/search/mcts/node.py	late-activate tree-wide duplicate mcts pruning	starting tree-wide duplicate pruning only after substantial search effort preserves early exploration while cutting late repeated states, which helps stalled hard targets find an extra solution without reducing broad solved fraction
e5eeb53	cca4014	hard10	keep	10	0.700000	7	6.829274	314.0	17.006257	173.578118	aizynthfinder/search/mcts/search.py,aizynthfinder/search/mcts/node.py	cache MCTS node search rewards	reusing per-node reward scores avoids repeated scorer work during backpropagation and multi-outcome child selection, improving hard-case search efficiency without reducing broad solved fraction
